Date,AXISBANK Adjusted Close,BANDHANBNK Adjusted Close,BANKBARODA Adjusted Close,FEDERALBNK Adjusted Close,HDFCBANK Adjusted Close,ICICIBANK Adjusted Close,IDFCFIRSTB Adjusted Close,INDUSINDBK Adjusted Close,KOTAKBANK Adjusted Close,PNB Adjusted Close,RBLBANK Adjusted Close,SBIN Adjusted Close
2018-04-02,498.43096923828125,472.24072265625,141.89999389648438,88.00577545166016,945.3507690429688,256.5496826171875,46.97408676147461,1781.183349609375,1095.400146484375,96.30000305175781,476.62603759765625,246.14999389648438
2018-04-03,500.9278869628906,479.9343566894531,145.35000610351562,89.32295227050781,937.8612060546875,264.5837097167969,47.7578010559082,1805.9576416015625,1102.14306640625,95.44999694824219,476.724365234375,250.5
2018-04-04,491.6394348144531,482.51544189453125,139.89999389648438,89.17658996582031,921.8785400390625,263.2120056152344,47.26797866821289,1776.0013427734375,1077.1693115234375,94.4000015258789,481.051513671875,247.3000030517578
2018-04-05,502.4759826660156,505.4971008300781,147.8000030517578,91.22550964355469,934.4346313476562,273.00958251953125,48.49253845214844,1813.113525390625,1117.1273193359375,97.0,488.27984619140625,259.29998779296875
2018-04-06,499.57958984375,504.55401611328125,150.39999389648438,94.88428497314453,941.5325317382812,274.9691162109375,48.835411071777344,1800.479736328125,1118.0263671875,102.1500015258789,485.9195861816406,259.70001220703125
2018-04-09,518.6558837890625,510.70892333984375,153.3000030517578,96.10387420654297,949.1935424804688,275.1650695800781,49.32523727416992,1835.9630126953125,1117.077392578125,105.25,487.8372497558594,260.6499938964844
2018-04-10,545.4725952148438,514.87841796875,153.25,94.39644622802734,940.2843017578125,282.95416259765625,48.59049987792969,1823.9708251953125,1112.482177734375,105.19999694824219,492.705322265625,263.29998779296875
2018-04-11,539.1304321289062,529.6204223632812,150.60000610351562,96.68927764892578,939.3052368164062,278.7901611328125,48.39457321166992,1831.6695556640625,1124.9190673828125,102.19999694824219,496.6882629394531,257.04998779296875
2018-04-12,548.0693359375,530.861328125,148.85000610351562,96.25022888183594,944.176025390625,280.9456481933594,47.90475082397461,1833.6929931640625,1133.41015625,101.25,491.6727600097656,253.8000030517578
2018-04-13,541.8770141601562,524.8056640625,150.4499969482422,96.25022888183594,942.3157958984375,282.415283203125,47.953731536865234,1837.1475830078125,1149.892822265625,101.30000305175781,493.09869384765625,250.9499969482422
2018-04-16,541.7272338867188,515.0272827148438,149.85000610351562,96.00630950927734,950.6864624023438,281.7784423828125,48.05169677734375,1840.4541015625,1170.870849609375,99.1500015258789,501.55633544921875,249.0
2018-04-17,531.7396240234375,501.4269104003906,147.85000610351562,96.93319702148438,953.8193359375,285.8444519042969,48.149662017822266,1842.62548828125,1163.62841796875,97.94999694824219,504.1624755859375,248.14999389648438
2018-04-18,517.607177734375,500.48382568359375,141.64999389648438,96.78684997558594,946.0361328125,284.17889404296875,48.44355392456055,1819.6771240234375,1152.7398681640625,97.1500015258789,501.6054992675781,246.4499969482422
2018-04-19,512.2638549804688,501.4269104003906,145.35000610351562,95.81116485595703,949.1690063476562,283.7379455566406,48.34558868408203,1809.1654052734375,1152.6900634765625,96.0999984741211,500.47454833984375,246.14999389648438
2018-04-20,505.07275390625,491.45001220703125,143.60000610351562,94.44523620605469,957.4418334960938,276.43878173828125,47.65983963012695,1789.3262939453125,1151.6409912109375,93.5999984741211,498.9501953125,241.1999969482422
2018-04-23,505.5721435546875,494.72601318359375,144.14999389648438,94.7867202758789,947.5780639648438,273.7444152832031,47.51288986206055,1850.07763671875,1167.774169921875,94.0999984741211,494.13134765625,242.4499969482422
2018-04-24,504.22381591796875,486.2878112792969,141.85000610351562,95.07941436767578,947.2109375,278.34930419921875,46.8271369934082,1853.0386962890625,1164.7772216796875,93.1500015258789,503.1789855957031,240.60000610351562
